Rank,Title,Year,IMDb Rating,Timestamp
1,The Shawshank Redemption,1994,9.3,2025-08-20 20:27:03
2,The Godfather,1972,9.2,2025-08-20 20:27:03
3,The Dark Knight,2008,9.1,2025-08-20 20:27:03
4,The Godfather Part II,1974,9.0,2025-08-20 20:27:03
5,12 Angry Men,1957,9.0,2025-08-20 20:27:03
6,The Lord of the Rings: The Return of the King,2003,9.0,2025-08-20 20:27:03
7,Schindler's List,1993,9.0,2025-08-20 20:27:03
8,Pulp Fiction,1994,8.8,2025-08-20 20:27:03
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2025-08-20 20:27:03
10,"The Good, the Bad and the Ugly",1966,8.8,2025-08-20 20:27:03
11,Forrest Gump,1994,8.8,2025-08-20 20:27:03
12,The Lord of the Rings: The Two Towers,2002,8.8,2025-08-20 20:27:03
13,Fight Club,1999,8.8,2025-08-20 20:27:03
14,Inception,2010,8.8,2025-08-20 20:27:03
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,2025-08-20 20:27:03
16,The Matrix,1999,8.7,2025-08-20 20:27:03
17,Goodfellas,1990,8.7,2025-08-20 20:27:03
18,Interstellar,2014,8.7,2025-08-20 20:27:03
19,One Flew Over the Cuckoo's Nest,1975,8.7,2025-08-20 20:27:03
20,Se7en,1995,8.6,2025-08-20 20:27:03
21,It's a Wonderful Life,1946,8.6,2025-08-20 20:27:03
22,The Silence of the Lambs,1991,8.6,2025-08-20 20:27:03
23,Seven Samurai,1954,8.6,2025-08-20 20:27:03
24,Saving Private Ryan,1998,8.6,2025-08-20 20:27:03
25,The Green Mile,1999,8.6,2025-08-20 20:27:03
26,City of God,2002,8.6,2025-08-20 20:27:03
27,Life Is Beautiful,1997,8.6,2025-08-20 20:27:03
28,Terminator 2: Judgment Day,1991,8.6,2025-08-20 20:27:03
29,Star Wars: Episode IV - A New Hope,1977,8.6,2025-08-20 20:27:03
30,Back to the Future,1985,8.5,2025-08-20 20:27:03
31,Spirited Away,2001,8.6,2025-08-20 20:27:03
32,The Pianist,2002,8.5,2025-08-20 20:27:03
33,Gladiator,2000,8.5,2025-08-20 20:27:03
34,Parasite,2019,8.5,2025-08-20 20:27:03
35,Psycho,1960,8.5,2025-08-20 20:27:03
36,The Lion King,1994,8.5,2025-08-20 20:27:03
37,Grave of the Fireflies,1988,8.5,2025-08-20 20:27:03
38,The Departed,2006,8.5,2025-08-20 20:27:03
39,Whiplash,2014,8.5,2025-08-20 20:27:03
40,Harakiri,1962,8.6,2025-08-20 20:27:03
41,The Prestige,2006,8.5,2025-08-20 20:27:03
42,American History X,1998,8.5,2025-08-20 20:27:03
43,Léon: The Professional,1994,8.5,2025-08-20 20:27:03
44,Spider-Man: Across the Spider-Verse,2023,8.5,2025-08-20 20:27:03
45,Casablanca,1942,8.5,2025-08-20 20:27:03
46,Cinema Paradiso,1988,8.5,2025-08-20 20:27:03
47,The Usual Suspects,1995,8.5,2025-08-20 20:27:03
48,The Intouchables,2011,8.5,2025-08-20 20:27:03
49,Alien,1979,8.5,2025-08-20 20:27:03
50,Modern Times,1936,8.5,2025-08-20 20:27:03
51,Rear Window,1954,8.5,2025-08-20 20:27:03
52,Django Unchained,2012,8.5,2025-08-20 20:27:03
53,Once Upon a Time in the West,1968,8.5,2025-08-20 20:27:03
54,City Lights,1931,8.5,2025-08-20 20:27:03
55,Apocalypse Now,1979,8.4,2025-08-20 20:27:03
56,WALL·E,2008,8.4,2025-08-20 20:27:03
57,Memento,2000,8.4,2025-08-20 20:27:03
58,Dune: Part Two,2024,8.5,2025-08-20 20:27:03
59,Raiders of the Lost Ark,1981,8.4,2025-08-20 20:27:03
60,Avengers: Infinity War,2018,8.4,2025-08-20 20:27:03
61,The Lives of Others,2006,8.4,2025-08-20 20:27:03
62,Sunset Boulevard,1950,8.4,2025-08-20 20:27:03
63,Spider-Man: Into the Spider-Verse,2018,8.4,2025-08-20 20:27:03
64,Witness for the Prosecution,1957,8.4,2025-08-20 20:27:03
65,Paths of Glory,1957,8.4,2025-08-20 20:27:03
66,The Shining,1980,8.4,2025-08-20 20:27:03
67,The Great Dictator,1940,8.4,2025-08-20 20:27:03
68,Inglourious Basterds,2009,8.4,2025-08-20 20:27:03
69,12th Fail,2023,8.7,2025-08-20 20:27:03
70,Aliens,1986,8.4,2025-08-20 20:27:03
71,The Dark Knight Rises,2012,8.4,2025-08-20 20:27:03
72,Coco,2017,8.4,2025-08-20 20:27:03
